,date,user_country,user_city,store_name,store_lat,store_lon,dfee,distance
105,2022-01-23,hr,City of Zagreb,La Štruk,45.814895,15.9763529,8.0,1.0559258991370646
106,2022-01-23,hr,City of Zagreb,Hilton Garden Inn,45.8042479,15.9987789,8.0,1.4630307337982813
107,2022-01-23,hr,City of Zagreb,CUnami,45.8145184,16.0121753,14.0,2.6757503741466846
108,2022-01-23,hr,City of Zagreb,Pizzeria  Asterix,45.7720945,16.0014483,20.0,4.095924884739335
109,2022-01-23,hr,City of Zagreb,Fianona Pizza,45.774606929151595,15.945233002671747,20.0,4.391961576811127
110,2022-01-23,hr,City of Zagreb,Panda Wok,45.775596992532996,15.953331291675566,18.0,3.942344927640587
111,2022-01-23,hr,City of Zagreb,Torte i To - Babonićeva,45.8245334,15.9877546,12.0,2.1727348310638575
112,2022-01-23,hr,City of Zagreb,Mex - Avenue Mall,45.77660119999999,15.9787329,16.0,3.2443770147335673
113,2022-01-23,hr,City of Zagreb,Pizzeria Zagabria,45.8125871,15.950879,12.0,2.3848367165242053
114,2022-01-23,hr,City of Zagreb,ReUnion,45.8056756,15.9849288,8.0,0.3795727355894334
115,2022-01-23,hr,City of Zagreb,American Steak & Grill House,45.81267099999999,15.9764901,8.0,0.8168538111494095
116,2022-01-23,hr,City of Zagreb,Manga Sushi - Jarun,45.7904843,15.9285137,20.0,4.3414475634960095
117,2022-01-23,hr,City of Zagreb,Restoran Domaća Kuhinja,45.7934765,15.9961571,10.0,1.8515878893153621
118,2022-01-23,hr,City of Zagreb,Žiraffa Cvjetno,45.7912425,15.9625606,12.0,2.1076224081786137
119,2022-01-23,hr,City of Zagreb,KFC - Avenue Mall,45.776556,15.9789093,16.0,3.249005818278751
120,2022-01-23,hr,City of Zagreb,Hot pizza,45.776330034019715,15.996492630074924,18.0,3.5130620556790366
121,2022-01-23,hr,City of Zagreb,Burger Bar Astoria,45.792635,15.9519727,14.0,2.6201651158555888
122,2022-01-23,hr,City of Zagreb,Choco cafe - Sopot ,45.775005068810124,15.98965108394623,16.0,3.5007150281569044
123,2022-01-23,hr,City of Zagreb,WokMe - Avenue Mall,45.776601199999995,15.978732900000002,16.0,3.244377014732853
124,2022-01-23,hr,City of Zagreb,Namaste Bistro,45.8117282,15.9741603,8.0,0.8055020023408375
125,2022-01-23,hr,City of Zagreb,Kaptolska Klet,45.81483469999999,15.978307099999993,8.0,1.0187451304141812
126,2022-01-23,hr,City of Zagreb,Restoran Taurus,45.79474949999999,15.91910779999999,22.0,4.880615904829363
